Date,Time,Treatment,Plot number,Plant species,# flowers,Av temp,Av wind,Apis mellifera,Lassioglossum spp,Ichneumonidae wasp,Formicidae spp,Amegilla sp,Other hymenoptera spp,Homalictus spp,Syrphidae spp,Hemiptera spp,Other Diptera spp,Lycaenidae spp
12/12/2019,10:00,,4,Senecio madagascariensis,2,23,1.1,0,0,0,0,0,0,0,0,0,0,0
12/12/2019,10:00,,4,Plantago lanceolata,4,23,1.1,0,0,0,0,0,0,0,0,0,0,0
12/12/2019,10:00,,12,Senecio madagascariensis,1,23,1.1,0,0,0,0,0,0,0,0,0,0,0
12/12/2019,10:00,,12,Plantago lanceolata ,13,23,1.1,0,0,0,0,0,0,0,0,0,0,0
12/12/2019,10:00,,12,Hypochaeris / Taraxacum,6,23,1.1,1,0,0,0,0,0,0,0,0,0,0
12/12/2019,10:00,,13,Senecio madagascariensis,2,24,1,0,0,0,0,0,0,0,0,0,0,0
12/12/2019,10:00,,13,Hypochaeris / Taraxacum,7,24,1,0,0,1,0,0,0,0,0,0,0,0
12/12/2019,10:00,,13,Plantago lanceolata ,21,24,1,0,1,0,0,0,0,0,0,0,0,0
12/12/2019,10:00,,23,Hypochaeris / Taraxacum,3,24,1,1,0,0,0,0,0,0,0,0,0,0
12/12/2019,10:00,,23,Plantago lanceolata,16,24,1,0,0,0,0,0,0,0,0,0,0,0
12/12/2019,11:13,,31,Hypochaeris / Taraxacum,15,24,2.5,1,0,0,0,0,0,0,0,0,0,0
12/12/2019,11:13,,41,Hypochaeris / Taraxacum,7,24,2.5,0,0,0,0,0,0,0,0,0,0,0
12/12/2019,2:00,,51,Hypochaeris / Taraxacum,1,24,2.5,0,0,0,0,0,0,0,0,0,0,0
12/12/2019,2:00,,42,Conyza bonariensis,33,24,2.5,0,0,1,1,0,0,0,0,0,0,0
12/12/2019,2:00,,44,Conyza bonariensis,20,24,2.5,0,0,0,0,0,0,0,0,0,0,0
12/12/2019,2:00,,44,Senecio madagascariensis,1,24,2.5,0,0,0,0,0,0,0,0,0,0,0
12/12/2019,2:00,,54,Trifolium repens,1,24,2.5,0,0,0,0,0,0,0,0,0,0,0
12/12/2019,2:00,,54,Conyza bonariensis,10,24,2.5,0,0,0,0,0,0,0,0,0,0,0
12/12/2019,2:00,,54,Solanum nodiflorum,7,24,2.5,0,0,0,0,0,0,0,0,0,0,0
12/12/2019,2:00,,55,na,0,29,2.4,0,0,0,0,0,0,0,0,0,0,0
12/12/2019,2:00,,35,na,0,29,2.4,0,0,0,0,0,0,0,0,0,0,0
